CHỈ TIÊU,Q4/2024,Q3/2024,Q2/2024,Q1/2024,Q4/2023,Q3/2023,Q2/2023,Q1/2023,Q4/2022,Q3/2022,Q2/2022,Q1/2022,Q4/2021,Q3/2021,Q2/2021,Q1/2021,Q4/2020,Q3/2020,Q2/2020,Q1/2020,Q4/2019,Q3/2019,Q2/2019,Q1/2019,Q4/2018,Q3/2018,Q2/2018,Q1/2018,Q4/2017,Q3/2017,Q2/2017,Q1/2017,Q4/2016,Q3/2016,Q2/2016,Q1/2016,Q4/2015,Q3/2015,Q2/2015,Q1/2015
Doanh thu thuần,15477073125441,15537337313473,16655787772473,14112411317058,15618710944490,15636987684682,15194824955693,13918391926640,15068654657453,16079491424130,14930275292637,13877825823198,15819036553270,16194052003559,15715806166465,13190270122852,14424794514944,15563157998229,15495233758799,14153099953575,14238961478162,14290900447018,14598960549757,13189300287807,13003707052570,13735260285149,13702480611961,12120502020912,12350368157140,13293077820340,13348261215191,12049368692438,11807610749506,12204689711230,12449130059922,10332908879616,11098562112893,10549326431578,10500110637280,8716035913568
Tăng trưởng doanh thu,-0.0091,-0.0064,0.09609999999999999,0.0139,0.0365,-0.0275,0.0177,0.0029,-0.047400000000000005,-0.0070999999999999995,-0.05,0.0521,0.0967,0.0405,0.014199999999999999,-0.068,0.0131,0.08900000000000001,0.061399999999999996,0.0731,0.095,0.0405,0.0654,0.0882,0.0529,0.0333,0.0265,0.0059,0.046,0.0892,0.0722,0.1661,0.0639,0.15689999999999998,0.1856,0.1855,0.1889,0.2082,0.1373,0.1352
Lợi nhuận gộp,6209690644985,6401445454290,7067518779284,5911521444565,6441612591490,6554900643375,6150192068886,5398026311659,5845588412045,6350179642297,6076659801599,5624803650766,6725316780217,6943747090431,6854357185245,5754880436414,6658173701548,7266743481136,7137894597099,6605811607925,6680302621448,6722965970468,7013945549158,6155002509553,6162585412139,6493516898029,6468610841811,5486693317112,5603872290875,6270299324342,6540841887346,5819131316070,5480295049931,5085428772710,5372695831441,5026711161429,4416387446733,4350059534037,4386995984476,3108971976990
Tăng trưởng lợi nhuận gộp,-0.036000000000000004,-0.023399999999999997,0.1492,0.0951,0.102,0.0322,0.0121,-0.0403,-0.1308,-0.0855,-0.11349999999999999,-0.0226,0.0101,-0.0444,-0.0397,-0.1288,-0.0033,0.0809,0.0177,0.0732,0.084,0.0353,0.0843,0.12179999999999999,0.09970000000000001,0.0356,-0.011000000000000001,-0.0571,0.0225,0.233,0.21739999999999998,0.1576,0.2409,0.16899999999999998,0.22469999999999998,0.6168,0.244,0.4363,0.386,0.21230000000000002
Lợi nhuận thuần từ HĐKD,2581919225696,2970748116715,3325773210703,2715537085273,2725822436482,3086270738943,2776744398740,2314795307642,2229048854727,2888929476609,2600935725205,2772150770559,2639084928848,3507044711060,3510265400228,3071224780055,2698989438731,3755879519012,3721525146405,3362986720268,2673952095282,3265127046928,3516775668232,3341235304930,2637035621507,2953826796158,3172703017968,3112948005119,2084489611040,3228396596983,3443226703496,3470305276126,2145563296248,3048044079391,3373259219955,2593424063941,2228598262186,2554910647754,2621118916415,1872171414488
Tăng trưởng lợi nhuận thuần,-0.0528,-0.0374,0.1977,0.17309999999999998,0.2229,0.0683,0.0676,-0.165,-0.15539999999999998,-0.17620000000000002,-0.259,-0.0974,-0.0222,-0.0663,-0.056799999999999996,-0.0868,0.009399999999999999,0.1503,0.0582,0.006500000000000001,0.013999999999999999,0.1054,0.1084,0.0733,0.2651,-0.085,-0.0786,-0.10300000000000001,-0.0285,0.0592,0.0207,0.3381,-0.0373,0.193,0.287,0.38520000000000004,0.1041,0.5094,0.375,0.10679999999999999
Lợi nhuận trước thuế,2643368770905,2941801640478,3308642928230,2705840401722,2852064600379,3075789821151,2727998544003,2312046425953,2295242241834,2859883167326,2576057643749,2764351623836,2688037023963,3586603289912,3493684950239,3153910222805,2671876716607,3777019789971,3711380577468,3358259002978,2649338858483,3253756149711,3549831766256,3342782864107,2680499625011,3033968043856,3160765705183,3176462892073,2085821039955,3223014334435,3444022345991,3476087663755,2204169931367,3044873308173,3362070367159,2626512964197,2285812672463,2553778018374,2622484714956,1905065650592
Tăng trưởng lợi nhuận trước thuế,-0.0732,-0.0436,0.21280000000000002,0.1703,0.2426,0.0755,0.059000000000000004,-0.1636,-0.1461,-0.2026,-0.2627,-0.1235,0.006,-0.0504,-0.0587,-0.0608,0.0085,0.16079999999999997,0.0455,0.0046,-0.0116,0.0724,0.1231,0.0524,0.2851,-0.0587,-0.08220000000000001,-0.0862,-0.0537,0.058499999999999996,0.024399999999999998,0.3235,-0.035699999999999996,0.1923,0.282,0.3787,0.05,0.48210000000000003,0.3312,0.0928
Lợi nhuận sau thuế của Cổ đông công ty mẹ,2123649268482,2403519104884,2670475017284,2194666965600,2326013960066,2492254015001,2198811184561,1856733257236,1869125571613,2298398907051,2082981126147,2265518089530,2196004480636,2925766998017,2834789042592,2575916578653,2185170012447,3077140792284,3071714073426,2764911978211,2201515747637,2690192377294,2898738430907,2790729116151,2299484602646,2560125311355,2666357498655,2701313738808,1744612719962,2693903760050,2922080403930,2935068264904,1828963840162,2548780232660,2815396006252,2157189051310,1896074486906,2135307519344,2185170750754,1556856874239
Tăng trưởng lợi nhuận sau thuế,-0.087,-0.0356,0.2145,0.182,0.2444,0.0843,0.0556,-0.1804,-0.1489,-0.2144,-0.2652,-0.12050000000000001,0.005,-0.0492,-0.0771,-0.0684,-0.0074,0.1438,0.059699999999999996,-0.009300000000000001,-0.0426,0.0508,0.0872,0.0331,0.318,-0.049699999999999994,-0.0875,-0.0796,-0.0461,0.056900000000000006,0.0379,0.36060000000000003,-0.0354,0.1936,0.2884,0.3856,0.0962,0.5515,0.387,0.1222
