NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
14/03/2025,62400,62700,62100,62100,100,0.001612903,2696700
13/03/2025,62300,62900,61900,62000,-200,-0.003215434,5100400
12/3/2025,62500,62800,62200,62200,-200,-0.003205128,2755400
11/3/2025,62300,62500,62100,62400,-100,-0.0016,2287600
10/3/2025,63000,63000,62500,62500,-200,-0.003189793,2529500
7/3/2025,62900,63000,62400,62700,-200,-0.00317965,2655600
6/3/2025,62700,62900,62200,62900,200,0.003189793,3125600
5/3/2025,63600,63600,62700,62700,-800,-0.012598425,2275500
4/3/2025,63200,63800,62900,63500,300,0.004746835,6042000
3/3/2025,62800,63200,62300,63200,1000,0.01607717,3610600
28/02/2025,62300,63200,62200,62200,0,0,4175600
27/02/2025,63200,63200,62200,62200,-900,-0.014263074,3520600
26/02/2025,63000,63400,62900,63100,200,0.00317965,3636600
25/02/2025,64000,64000,62600,62900,-900,-0.014106583,3884200
24/02/2025,61600,63900,61600,63800,2400,0.039087948,11512800
21/02/2025,60800,62100,60600,61400,700,0.011532125,4717200
20/02/2025,60900,60900,60600,60700,-100,-0.001644737,2627900
19/02/2025,60300,60900,60300,60800,500,0.008291874,3072700
18/02/2025,60400,60500,60000,60300,300,0.005,2436800
17/02/2025,60400,60600,60000,60000,-300,-0.004975124,3612400
14/02/2025,60700,60700,60300,60300,-400,-0.006589786,6401800
13/02/2025,61000,61000,60400,60700,-300,-0.004918033,2576800
12/2/2025,60600,61000,60500,61000,600,0.009933775,2756600
11/2/2025,60600,60700,60100,60400,-200,-0.00330033,3433800
10/2/2025,61200,61200,60600,60600,-200,-0.003289474,2592100
7/2/2025,60700,61200,60600,60800,100,0.001647446,2552300
6/2/2025,61500,61600,60500,60700,-800,-0.01300813,3024800
5/2/2025,60400,61500,60400,61500,1300,0.021594684,3198100
4/2/2025,60600,60900,60000,60200,-300,-0.004958678,7125000
3/2/2025,62200,62200,60500,60500,-1700,-0.02733119,7279900
24/01/2025,61900,62500,61800,62200,200,0.003225806,1576400
23/01/2025,61600,62300,61600,62000,400,0.006493506,1781300
22/01/2025,62000,62000,61600,61600,-200,-0.003236246,1760900
21/01/2025,62000,62100,61600,61800,-100,-0.001615509,1403900
20/01/2025,62000,62200,61600,61900,-100,-0.001612903,1633600
17/01/2025,62200,62200,62000,62000,100,0.001615509,889400
16/01/2025,62300,62600,61700,61900,200,0.003241491,1684500
15/01/2025,62100,62300,61700,61700,100,0.001623377,1216400
14/01/2025,61400,61800,61300,61600,200,0.003257329,1147600
13/01/2025,61200,61900,61100,61400,100,0.001631321,1101700
10/1/2025,61700,61900,61300,61300,-500,-0.008090615,1189800
9/1/2025,61800,61900,61300,61800,100,0.001620746,1500000
8/1/2025,62000,62100,61200,61700,0,0,2053300
7/1/2025,62600,63000,61600,61700,-800,-0.0128,2802100
6/1/2025,63000,63200,62500,62500,-500,-0.007936508,2103500
3/1/2025,63200,63300,62900,63000,-100,-0.001584786,1776700
2/1/2025,63600,63800,63100,63100,-300,-0.004731861,1336600
31/12/2024,63400,63800,63300,63400,100,0.001579779,1641900
30/12/2024,63600,63700,63300,63300,-500,-0.007836991,1490800
27/12/2024,63900,64100,63700,63800,0,0,2443700
26/12/2024,64200,64200,63800,63800,-100,-0.001564945,1708800
25/12/2024,63900,64396.11801,63900,63900,100,0.00155521,1382500
24/12/2024,63900,64197.67081,63602.32919,63800.7764,-100,-0.001552795,4725000
23/12/2024,64197.67081,64495.34162,63800.7764,63900,-600,-0.009230769,1367800
20/12/2024,63503.10559,64495.34162,63503.10559,64495.34162,1100,0.017214397,3799600
19/12/2024,63900,63999.2236,63403.88199,63403.88199,-800,-0.01236476,2646900
18/12/2024,64495.34162,64594.56522,64197.67081,64197.67081,100,0.001547988,1614100
17/12/2024,64396.11801,64495.34162,63999.2236,64098.44721,-400,-0.006153846,1204000
16/12/2024,63701.5528,64693.78882,63701.5528,64495.34162,800,0.012461059,2387600
13/12/2024,63800.7764,63999.2236,63602.32919,63701.5528,-400,-0.00619195,1396700
12/12/2024,63701.5528,64396.11801,63701.5528,64098.44721,400,0.00623053,2249807
11/12/2024,63403.88199,64098.44721,63403.88199,63701.5528,300,0.004694836,2024600
10/12/2024,63602.32919,63900,63403.88199,63403.88199,-200,-0.003120125,1711000
9/12/2024,63999.2236,63999.2236,63503.10559,63602.32919,0,0,1762700
6/12/2024,63999.2236,64296.89441,63602.32919,63602.32919,-200,-0.00311042,1677900
5/12/2024,63006.98758,64197.67081,62709.31677,63800.7764,1000,0.015797788,2218400
4/12/2024,63304.65839,63403.88199,62808.54037,62808.54037,-600,-0.009389671,2745800
3/12/2024,64098.44721,64098.44721,63403.88199,63403.88199,-600,-0.009302326,2425200
2/12/2024,64098.44721,64296.89441,63701.5528,63999.2236,-100,-0.001547988,1229100
29/11/2024,63999.2236,64296.89441,63800.7764,64098.44721,100,0.001550388,1105500
28/11/2024,64495.34162,64495.34162,63999.2236,63999.2236,-100,-0.001547988,1273300
27/11/2024,64296.89441,64495.34162,63999.2236,64098.44721,-200,-0.00308642,1586400
26/11/2024,63999.2236,64495.34162,63900,64296.89441,500,0.00777605,1675600
25/11/2024,63800.7764,64098.44721,63701.5528,63800.7764,0,0,2446600
22/11/2024,63403.88199,64296.89441,63403.88199,63800.7764,400,0.006259781,2585700
21/11/2024,63205.43478,63602.32919,62907.76398,63403.88199,300,0.004716981,2253500
20/11/2024,62510.86957,63304.65839,62411.64596,63106.21118,600,0.00952381,2818000
19/11/2024,62808.54037,63006.98758,62510.86957,62510.86957,-200,-0.003164557,2833600
18/11/2024,63205.43478,63701.5528,62709.31677,62709.31677,-500,-0.007849294,3797000
15/11/2024,64396.11801,64396.11801,63205.43478,63205.43478,-1300,-0.02,3688300
14/11/2024,64495.34162,64495.34162,64197.67081,64495.34162,0,0,1779900
13/11/2024,64594.56522,65090.68323,64197.67081,64495.34162,100,0.001540832,2820700
12/11/2024,64693.78882,65189.90683,64296.89441,64396.11801,-300,-0.004601227,1729600
11/11/2024,65189.90683,65289.13044,64197.67081,64693.78882,-500,-0.00761035,2737600
8/11/2024,65487.57764,65686.02485,65090.68323,65189.90683,-200,-0.003034901,1852400
7/11/2024,65487.57764,65686.02485,65090.68323,65388.35404,100,0.001519757,1152300
6/11/2024,65487.57764,65487.57764,64793.01242,65289.13044,300,0.004580153,2594600
5/11/2024,65189.90683,65487.57764,64991.45963,64991.45963,-100,-0.00152439,1060900
4/11/2024,65388.35404,66082.91926,65090.68323,65090.68323,-200,-0.003039514,2118800
1/11/2024,65586.80124,65785.24845,65090.68323,65289.13044,-300,-0.004538578,2178005
31/10/2024,66082.91926,66082.91926,64793.01242,65586.80124,-200,-0.003016591,5269100
30/10/2024,66479.81367,66777.48447,65785.24845,65785.24845,-700,-0.010447761,3431700
29/10/2024,66777.48447,66777.48447,66281.36646,66479.81367,-200,-0.00297619,2030600
28/10/2024,67174.37888,67472.04969,66182.14286,66678.26087,-800,-0.011764706,2923300
25/10/2024,68067.39131,68067.39131,67372.82609,67472.04969,-400,-0.005847953,2170200
24/10/2024,66777.48447,68464.28572,66777.48447,67868.9441,1100,0.016344725,4365000
23/10/2024,66777.48447,67075.15528,66678.26087,66777.48447,0,0,1835900
22/10/2024,66777.48447,67273.60249,66678.26087,66777.48447,0,0,2250400
21/10/2024,66876.70808,67372.82609,66678.26087,66777.48447,-100,-0.00148368,1860000
18/10/2024,67075.15528,67472.04969,66876.70808,66876.70808,-200,-0.00295858,1737502
17/10/2024,67075.15528,67372.82609,66777.48447,67075.15528,100,0.001481481,1655019
16/10/2024,66281.36646,67571.27329,66281.36646,66975.93168,700,0.010479042,2003900
15/10/2024,66678.26087,66876.70808,66182.14286,66281.36646,-400,-0.005952381,3473302
14/10/2024,67571.27329,67571.27329,66579.03727,66678.26087,-500,-0.007385524,3220500
11/10/2024,67571.27329,67670.4969,66975.93168,67174.37888,0,0,2690038
10/10/2024,67769.7205,68265.83851,67174.37888,67174.37888,-100,-0.001474926,3122515
9/10/2024,67769.7205,68067.39131,67273.60249,67273.60249,-400,-0.005865103,3827960
8/10/2024,66678.26087,67670.4969,66678.26087,67670.4969,1100,0.016393443,3182649
7/10/2024,68166.61491,68761.95652,66579.03727,66579.03727,-1400,-0.020437956,5986300
4/10/2024,69952.63975,69952.63975,67868.9441,67968.1677,-1800,-0.025604552,6134000
3/10/2024,69654.96895,69952.63975,69357.29814,69754.19255,200,0.002853067,2948000
2/10/2024,69654.96895,69654.96895,69059.62733,69555.74534,0,0,2139900
1/10/2024,69654.96895,70151.08696,69555.74534,69555.74534,0,0,2040200
30/09/2024,70448.75777,70448.75777,69555.74534,69555.74534,-900,-0.012676056,2043516
27/09/2024,70250.31056,70647.20497,70151.08696,70448.75777,300,0.004243281,3168700
26/09/2024,69059.62733,70547.98137,69059.62733,70151.08696,1100,0.015804598,4484109
25/09/2024,69754.19255,69853.41615,69059.62733,69059.62733,-700,-0.009957326,4847436
24/09/2024,70448.75777,70448.75777,69555.74534,69754.19255,-200,-0.002836879,2199514
23/09/2024,70094.80581,70190.69473,69615.36117,69903.02795,200,0.002751032,2997201
20/09/2024,70478.36152,70957.80615,69711.2501,69711.2501,-600,-0.008185539,6555403
19/09/2024,70286.58366,70478.36152,69998.91688,70286.58366,0,0,1572742
18/09/2024,70574.25044,70861.91722,69998.91688,70286.58366,-100,-0.001362398,2845344
17/09/2024,69040.02761,70382.47259,68752.36083,70382.47259,1500,0.020862309,2526732
16/09/2024,69998.91688,69998.91688,68944.13868,68944.13868,-1000,-0.013717421,4034700
13/09/2024,71724.91757,71724.91757,69903.02795,69903.02795,-1800,-0.024096386,5347113
12/9/2024,71916.69542,72108.47328,71341.36186,71629.02864,100,0.001340483,2052124
11/9/2024,71724.91757,72012.58435,70861.91722,71533.13971,-300,-0.00400534,3165231
10/9/2024,71724.91757,72396.14006,71245.47293,71820.8065,100,0.001336898,3332434
9/9/2024,72012.58435,72012.58435,71149.58401,71724.91757,-600,-0.00795756,2638800
6/9/2024,71820.8065,72396.14006,71724.91757,72300.25113,700,0.009370817,3641800
5/9/2024,71245.47293,72300.25113,71053.69508,71629.02864,400,0.00538358,5841142
4/9/2024,70286.58366,71437.25079,70094.80581,71245.47293,400,0.00541272,2839125
30/08/2024,70574.25044,71724.91757,70382.47259,70861.91722,400,0.005442177,3675800
29/08/2024,70670.13937,70957.80615,70382.47259,70478.36152,-400,-0.00541272,2042980
28/08/2024,70574.25044,70957.80615,70190.69473,70861.91722,400,0.005442177,3352840
27/08/2024,70382.47259,70766.0283,69615.36117,70478.36152,100,0.001362398,4265844
26/08/2024,71820.8065,71916.69542,70286.58366,70382.47259,-1500,-0.020026702,6324827
23/08/2024,71820.8065,72492.02899,71341.36186,71820.8065,700,0.009433962,3307633
22/08/2024,72875.5847,72875.5847,70574.25044,71149.58401,-1100,-0.014608234,6025954
21/08/2024,72108.47328,72971.47362,72012.58435,72204.36221,-300,-0.003968254,3991045
20/08/2024,72875.5847,73067.36255,72204.36221,72492.02899,-400,-0.005263158,4177349
19/08/2024,70957.80615,72875.5847,70766.0283,72875.5847,2200,0.029810298,7917931
16/08/2024,70957.80615,71053.69508,70190.69473,70766.0283,0,0,7392917
15/08/2024,70957.80615,71533.13971,70670.13937,70766.0283,-200,-0.002702703,4255830
14/08/2024,70957.80615,71053.69508,70286.58366,70957.80615,200,0.002710027,5456225
13/08/2024,69807.13902,71341.36186,69711.2501,70766.0283,800,0.010958904,6834400
12/8/2024,70286.58366,71341.36186,69807.13902,69998.91688,-300,-0.004092769,5804000
9/8/2024,69807.13902,70382.47259,69519.47224,70286.58366,600,0.008253095,4527500
8/8/2024,70861.91722,71341.36186,69231.80546,69711.2501,-1100,-0.014905149,7611000
7/8/2024,70190.69473,70766.0283,69423.58332,70766.0283,1100,0.015130674,10740700
6/8/2024,67409.91584,70286.58366,67122.24906,69711.2501,3300,0.047550432,13950400
5/8/2024,68081.13833,68272.91619,65683.91515,66546.9155,-2100,-0.029370629,12245500
2/8/2024,67122.24906,68944.13868,67122.24906,68560.58297,1200,0.017069701,10290200
1/8/2024,68848.24975,68944.13868,67218.13799,67409.91584,-1300,-0.018156425,8955800
31/07/2024,65683.91515,69040.02761,65683.91515,68656.4719,3900,0.05760709,21564900
30/07/2024,64533.24803,65588.02623,64149.69232,64916.80374,500,0.007440476,6465600
29/07/2024,63478.46983,64820.91481,63190.80305,64437.3591,1400,0.021276596,5781800
26/07/2024,62711.35841,63478.46983,62711.35841,63094.91412,200,0.00304878,3275400
25/07/2024,62903.13626,62999.02519,62615.46948,62903.13626,0,0,1957600
24/07/2024,63094.91412,63382.5809,62903.13626,62903.13626,-300,-0.004552352,3913500
23/07/2024,62903.13626,63574.35875,62807.24734,63190.80305,500,0.00764526,3777800
22/07/2024,62615.46948,63286.69197,62519.58056,62711.35841,100,0.001531394,2654800
19/07/2024,63190.80305,63190.80305,62423.69163,62615.46948,-600,-0.009104704,3412700
18/07/2024,63286.69197,63286.69197,62807.24734,63190.80305,200,0.00304414,2363000
17/07/2024,63478.46983,63766.13661,62903.13626,62999.02519,-400,-0.006051437,3464800
16/07/2024,63670.24768,63957.91446,63382.5809,63382.5809,-100,-0.001510574,2243700
15/07/2024,63574.35875,64149.69232,63478.46983,63478.46983,-100,-0.001508296,2155300
12/7/2024,63670.24768,63862.02554,63382.5809,63574.35875,0,0,2189900
11/7/2024,64149.69232,64245.58125,63574.35875,63574.35875,-500,-0.00748503,3787100
10/7/2024,64725.02588,65012.69266,64053.80339,64053.80339,-700,-0.01037037,3991700
9/7/2024,64820.91481,65012.69266,64437.3591,64725.02588,-100,-0.00147929,5045200
8/7/2024,64533.24803,64916.80374,64245.58125,64820.91481,400,0.005952381,4942400
5/7/2024,63670.24768,64725.02588,63670.24768,64437.3591,800,0.012048193,4285100
4/7/2024,63574.35875,64149.69232,63574.35875,63670.24768,200,0.003021148,2688900
3/7/2024,63478.46983,63574.35875,63286.69197,63478.46983,0,0,1437600
2/7/2024,63286.69197,63574.35875,63094.91412,63478.46983,200,0.003030303,2042800
1/7/2024,63094.91412,63286.69197,62615.46948,63286.69197,500,0.007633588,1909300
28/06/2024,62807.24734,63286.69197,62615.46948,62807.24734,200,0.003062787,2821700
27/06/2024,62519.58056,62903.13626,62423.69163,62615.46948,100,0.001533742,2755400
26/06/2024,63094.91412,63094.91412,62423.69163,62519.58056,-300,-0.004580153,2599300
25/06/2024,63094.91412,63478.46983,62807.24734,62807.24734,0,0,3680600
24/06/2024,63382.5809,63862.02554,62615.46948,62807.24734,-500,-0.007575758,3871900
21/06/2024,63766.13661,64341.47017,63286.69197,63286.69197,0,0,4023700
20/06/2024,62711.35841,64053.80339,62519.58056,63286.69197,700,0.010719755,4397100
19/06/2024,63286.69197,63286.69197,62423.69163,62615.46948,-600,-0.009104704,6211000
18/06/2024,63766.13661,63766.13661,63190.80305,63190.80305,-100,-0.001515152,2751700
17/06/2024,63574.35875,63862.02554,63286.69197,63286.69197,-200,-0.003021148,3617600
14/06/2024,64245.58125,64533.24803,63478.46983,63478.46983,-700,-0.010463378,4124200
13/06/2024,64245.58125,64629.13695,64053.80339,64149.69232,-100,-0.001492537,4003600
12/6/2024,63766.13661,64533.24803,63574.35875,64245.58125,500,0.007518797,3522696
11/6/2024,64629.13695,64725.02588,63670.24768,63766.13661,-700,-0.010416667,6177100
10/6/2024,65588.02623,65683.91515,64437.3591,64437.3591,-600,-0.008849558,4584100
7/6/2024,64820.91481,65779.80408,64725.02588,65012.69266,600,0.008928571,4127600
6/6/2024,66163.35979,66163.35979,64437.3591,64437.3591,-1300,-0.018978102,4907800
5/6/2024,63478.46983,66355.13764,63478.46983,65683.91515,2500,0.037878788,11865800
4/6/2024,63382.5809,63862.02554,63286.69197,63286.69197,-100,-0.001512859,3755800
3/6/2024,63094.91412,63862.02554,62999.02519,63382.5809,700,0.010703364,3302200
31/05/2024,63190.80305,63190.80305,62615.46948,62711.35841,-300,-0.00456621,4165400
30/05/2024,63382.5809,63478.46983,62807.24734,62999.02519,-600,-0.009049774,4502600
29/05/2024,64245.58125,64533.24803,63286.69197,63574.35875,-500,-0.00748503,3644200
28/05/2024,63574.35875,64533.24803,63382.5809,64053.80339,700,0.010590015,5787500
27/05/2024,63382.5809,63862.02554,63094.91412,63382.5809,100,0.001515152,2426600
24/05/2024,63957.91446,64149.69232,62999.02519,63286.69197,-1000,-0.014925373,4194100
23/05/2024,63286.69197,64245.58125,63094.91412,64245.58125,1200,0.018237082,2991400
22/05/2024,63670.24768,63957.91446,63094.91412,63094.91412,-400,-0.006042296,3728300
21/05/2024,63670.24768,63862.02554,63094.91412,63478.46983,-200,-0.003012048,3821200
20/05/2024,64341.47017,64820.91481,63670.24768,63670.24768,-600,-0.008955224,4941500
17/05/2024,64533.24803,65012.69266,64053.80339,64245.58125,-200,-0.00297619,4349200
16/05/2024,64341.47017,64916.80374,64245.58125,64437.3591,200,0.002985075,3153300
15/05/2024,64149.69232,64533.24803,63957.91446,64245.58125,500,0.007518797,3895400
14/05/2024,63190.80305,64245.58125,63190.80305,63766.13661,700,0.010638298,2704800
13/05/2024,63862.02554,64053.80339,62711.35841,63094.91412,-700,-0.010526316,2882500
10/5/2024,63957.91446,64725.02588,63382.5809,63766.13661,-100,-0.001501502,2438800
9/5/2024,65108.58159,65108.58159,63862.02554,63862.02554,-1300,-0.019145803,2998000
8/5/2024,65204.47052,65204.47052,64341.47017,65108.58159,-100,-0.001470588,2984400
7/5/2024,63286.69197,65683.91515,63190.80305,65204.47052,2200,0.03343465,8723900
6/5/2024,63094.91412,63670.24768,62807.24734,63094.91412,200,0.00304878,2261300
3/5/2024,62903.13626,63286.69197,62807.24734,62903.13626,200,0.003058104,2204400
2/5/2024,62711.35841,62807.24734,62231.91377,62711.35841,400,0.006153846,2563400
26/04/2024,62040.13592,63094.91412,61848.35806,62327.8027,300,0.004636785,2940600
25/04/2024,61368.91343,62136.02485,61273.0245,62040.13592,700,0.0109375,2006000
24/04/2024,61368.91343,61656.58021,60889.46879,61368.91343,500,0.007874016,2478300
23/04/2024,61560.69128,61656.58021,60601.80201,60889.46879,-500,-0.0078125,2139400
22/04/2024,62040.13592,62615.46948,61368.91343,61368.91343,-200,-0.003115265,2035200
19/04/2024,61560.69128,61752.46914,60697.69094,61560.69128,0,0,4677100
17/04/2024,61752.46914,62231.91377,61560.69128,61560.69128,200,0.003125,5144500
16/04/2024,62231.91377,62327.8027,60410.02416,61368.91343,-900,-0.013867488,7128700
15/04/2024,63957.91446,63957.91446,62231.91377,62231.91377,-1800,-0.026986507,5776100
12/4/2024,64053.80339,64341.47017,63862.02554,63957.91446,100,0.001501502,2509200
11/4/2024,63957.91446,64149.69232,63766.13661,63862.02554,-200,-0.002994012,2947700
10/4/2024,64341.47017,64533.24803,64053.80339,64053.80339,-200,-0.002985075,4464100
9/4/2024,64341.47017,64533.24803,64053.80339,64245.58125,0,0,2516000
8/4/2024,65204.47052,65204.47052,64149.69232,64245.58125,-900,-0.013254786,3716000
5/4/2024,65396.24837,65396.24837,64916.80374,65108.58159,-300,-0.004398827,4233800
4/4/2024,63957.91446,65588.02623,63957.91446,65396.24837,1500,0.022488756,8598100
3/4/2024,64533.24803,64533.24803,63957.91446,63957.91446,-600,-0.008915305,5046100
2/4/2024,64245.58125,64629.13695,63957.91446,64533.24803,300,0.004477612,4322900
1/4/2024,64820.91481,64916.80374,64245.58125,64245.58125,-600,-0.00887574,5013000
29/03/2024,65588.02623,65588.02623,64725.02588,64820.91481,-100,-0.001477105,3694900
28/03/2024,64916.80374,65588.02623,64820.91481,64916.80374,0,0,4492200
27/03/2024,65204.47052,65204.47052,64725.02588,64916.80374,0,0,2812100
26/03/2024,64629.13695,65108.58159,64533.24803,64916.80374,400,0.005943536,2524500
